    step                 x                 y                 h
       0         10.000000          5.000000         13.717868
       1         10.004925          5.074625         13.717867
       2         10.009777          5.150401         13.717864
       3         10.014555          5.227347         13.717860
       4         10.019256          5.305479         13.717854
       5         10.023880          5.384816         13.717846
       6         10.028426          5.465378         13.717836
       7         10.032891          5.547181         13.717825
       8         10.037275          5.630247         13.717811
       9         10.041577          5.714593         13.717796
      10         10.045794          5.800240         13.717779
      11         10.049925          5.887207         13.717760
      12         10.053970          5.975514         13.717739
      13         10.057926          6.065182         13.717716
      14         10.061792          6.156232         13.717690
      15         10.065567          6.248685         13.717663
      16         10.069248          6.342561         13.717634
      17         10.072835          6.437882         13.717603
      18         10.076325          6.534671         13.717569
      19         10.079718          6.632949         13.717533
      20         10.083011          6.732739         13.717495
      21         10.086204          6.834064         13.717455
      22         10.089293          6.936946         13.717412
      23         10.092278          7.041409         13.717367
      24         10.095157          7.147476         13.717319
      25         10.097928          7.255173         13.717270
      26         10.100589          7.364522         13.717217
      27         10.103139          7.475549         13.717162
      28         10.105576          7.588278         13.717105
      29         10.107897          7.702734         13.717045
      30         10.110102          7.818944         13.716982
      31         10.112187          7.936933         13.716917
      32         10.114153          8.056728         13.716849
      33         10.115995          8.178354         13.716778
      34         10.117713          8.301839         13.716705
      35         10.119304          8.427210         13.716628
      36         10.120767          8.554494         13.716549
      37         10.122099          8.683719         13.716467
      38         10.123299          8.814914         13.716381
      39         10.124363          8.948107         13.716293
      40         10.125292          9.083327         13.716202
      41         10.126081          9.220603         13.716107
      42         10.126729          9.359964         13.716010
      43         10.127234          9.501441         13.715909
      44         10.127593          9.645063         13.715805
      45         10.127805          9.790862         13.715698
      46         10.127867          9.938867         13.715587
      47         10.127777         10.089111         13.715473
      48         10.127532         10.241625         13.715356
      49         10.127130         10.396440         13.715235
      50         10.126570         10.553590         13.715110
      51         10.125848         10.713106         13.714982
      52         10.124962         10.875021         13.714851
      53         10.123909         11.039369         13.714715
      54         10.122688         11.206184         13.714576
      55         10.121296         11.375498         13.714434
      56         10.119730         11.547347         13.714287
      57         10.117987         11.721765         13.714136
      58         10.116066         11.898787         13.713982
      59         10.113964         12.078448         13.713824
      60         10.111677         12.260784         13.713661
      61         10.109204         12.445830         13.713495
      62         10.106541         12.633622         13.713324
      63         10.103687         12.824198         13.713149
      64         10.100638         13.017594         13.712970
      65         10.097392         13.213847         13.712787
      66         10.093946         13.412994         13.712599
      67         10.090297         13.615073         13.712407
      68         10.086442         13.820122         13.712210
      69         10.082379         14.028179         13.712009
      70         10.078105         14.239283         13.711804
      71         10.073617         14.453473         13.711594
      72         10.068912         14.670787         13.711379
      73         10.063987         14.891265         13.711159
      74         10.058839         15.114946         13.710935
      75         10.053466         15.341871         13.710706
      76         10.047864         15.572078         13.710472
      77         10.042030         15.805610         13.710233
      78         10.035962         16.042505         13.709989
      79         10.029657         16.282805         13.709740
      80         10.023111         16.526550         13.709487
      81         10.016322         16.773782         13.709227
      82         10.009286         17.024541         13.708963
      83         10.002000         17.278869         13.708694
      84          9.994462         17.536808         13.708419
      85          9.986668         17.798399         13.708139
      86          9.978615         18.063685         13.707854
      87          9.970300         18.332706         13.707563
      88          9.961720         18.605505         13.707267
      89          9.952872         18.882123         13.706965
      90          9.943752         19.162604         13.706657
      91          9.934359         19.446989         13.706344
      92          9.924687         19.735321         13.706026
      93          9.914735         20.027641         13.705702
      94          9.904499         20.323992         13.705371
      95          9.893976         20.624416         13.705036
      96          9.883163         20.928956         13.704694
      97          9.872057         21.237652         13.704346
      98          9.860654         21.550549         13.703993
      99          9.848952         21.867686         13.703634
     100          9.836947         22.189107         13.703268
